-25.283930000	-57.559360000
-25.283750000	-57.560440000
-25.283760000	-57.560590000
-25.283760000	-57.560590000
-25.283790000	-57.560590000
-25.283920000	-57.560600000
-25.283980000	-57.560610000
-25.284240000	-57.560700000
-25.284300000	-57.560720000
-25.284630000	-57.560850000
-25.284630000	-57.560850000
-25.284370000	-57.561610000
-25.283970000	-57.562720000
-25.283640000	-57.563750000
-25.283620000	-57.563800000
-25.283590000	-57.563930000
-25.283530000	-57.564090000
-25.283460000	-57.564290000
-25.283380000	-57.564470000
-25.283410000	-57.564710000
-25.283440000	-57.564950000
-25.283450000	-57.564980000
-25.283470000	-57.565170000
-25.283500000	-57.565390000
-25.283530000	-57.565600000
-25.283550000	-57.565780000
-25.283640000	-57.566370000
-25.283670000	-57.566460000
-25.283730000	-57.566680000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.283920000	-57.567200000
-25.284000000	-57.567390000
-25.284190000	-57.567810000
-25.284210000	-57.567840000
-25.284420000	-57.568220000
-25.284600000	-57.568510000
-25.284700000	-57.568650000
-25.284940000	-57.569020000
-25.285160000	-57.569340000
-25.285420000	-57.569730000
-25.285690000	-57.570160000
-25.285910000	-57.570630000
-25.286170000	-57.571180000
-25.286310000	-57.571510000
-25.286350000	-57.571680000
-25.286370000	-57.571780000
-25.286400000	-57.571900000
-25.286410000	-57.571970000
-25.286400000	-57.572100000
-25.286400000	-57.572210000
-25.286410000	-57.572370000
-25.286290000	-57.572850000
-25.286060000	-57.573790000
-25.285740000	-57.575280000
-25.285700000	-57.575440000
-25.285450000	-57.576530000
